姓名,城市,科室,职称,主执业医院,出诊医院,专业特长,挂号费,出诊时间,信息来源网址
刘文郁,北京市,小儿胸外科,资深医师,,北京新世纪儿童医院,毕业于哈尔滨医科大学，获临床医学专业学士学位。 三甲医院儿科工作十余年。 中国妇幼保健协会妇幼微创专业委员会小儿胸外微创学组青年委员。 擅长小儿胸壁畸形（漏斗胸、鸡胸、叉状肋）、先天性肺疾病、纵膈肿瘤、胸腔镜微创手术等。,¥700,周一、周二、周三、周四、周五 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1500517037308847
张迪,北京市,小儿神经外科,副主任医师,,北京新世纪儿童医院,毕业于首都医科大学，获硕士学位。先后工作于北京儿童医院外科和神经外科十余年。 擅长颅颌面畸形的重建、血管畸形，特别是烟雾病的诊断和治疗，脑室镜治疗脑积水、颅脑外伤、颅缝早闭的诊断和治疗。,¥900,周一 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1608877500099167
刘敏,北京市,小儿内分泌科,主任医师,,北京新世纪儿童医院,1994年毕业于首都医科大学获学士学位，同年至首都医科大学附属北京儿童医院内科工作。2002年获首都医科大学临床硕士学位。 从事小儿内分泌遗传代谢专业临床工作20余年，积累了丰富的临床、教学经验。擅长诊治儿科内分泌遗传代谢常见疾病如身材矮小症、性早熟、糖尿病、佝偻病、肥胖、甲状腺及肾上腺疾病等。参与“儿童糖尿病流行趋势和并发症患病调查及血糖管理系列研究”，获2017年北京医学科技奖三等奖。以第一作者在医学核心期刊发表论文十余篇，SCI两篇。参与编写多部著作：《实用儿科学》、《八年制儿科学》、《医学遗传学》、《儿童罕见病》、《儿科内分泌诊疗常规》等。先后参与住院医师规范化培训、进修医师、研究生、,¥1200,周五 (上午 09:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1642162331680574
林意珊,北京市,小儿妇科（中医）,副主任医师·双语,,北京新世纪儿童医院,毕业于北京中医药大学，获硕士学位。师从东直门中医医院、北京中医医院、协和医院多位专家。先后工作于敬益堂中医诊所、北京同仁堂王府井中医医院。擅长中西医结合治疗阴道炎、反复阴唇粘连、月经不调、痛经、乳腺增生、子宫肌瘤等妇科疾病；消化不良、便秘、幽门螺旋杆菌感染、磨牙、厌食、肥胖等脾胃病及过敏性鼻炎、慢性咳嗽、抽动症、痤疮、发育迟缓等。,¥700,周日 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1649205919385671
林意珊,北京市,小儿中医消化门诊,副主任医师·双语,,北京新世纪儿童医院,毕业于北京中医药大学，获硕士学位。师从东直门中医医院、北京中医医院、协和医院多位专家。先后工作于敬益堂中医诊所、北京同仁堂王府井中医医院。擅长中西医结合治疗阴道炎、反复阴唇粘连、月经不调、痛经、乳腺增生、子宫肌瘤等妇科疾病；消化不良、便秘、幽门螺旋杆菌感染、磨牙、厌食、肥胖等脾胃病及过敏性鼻炎、慢性咳嗽、抽动症、痤疮、发育迟缓等。,¥700,周日 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1649205919385671
涂绘玲,北京市,小儿消化科,副主任医师·双语,,北京新世纪儿童医院,毕业于北京大学医学部，获儿科学专业博士学位。 现任新世纪医疗北京地区儿童健康发展中心医疗总监，曾于北医三院儿科工作十余年。 擅长儿童保健、生长发育和小儿消化科各类疾病的诊治。 1.儿童保健：擅长儿童生长发育评估、儿童语言发育评估、儿童注意力发育评估、正常儿童和特殊儿童预防接种、儿童营养、疾病预防和家庭养育指导等。 2.小儿消化科：擅长儿童胃肠道疾病和胃肠道功能失调等的诊疗，包括各类小儿过敏性胃肠疾病、小儿急、慢性、迁延性腹泻，小儿肠道菌群失调、小儿慢性胃炎、溃疡病，小儿复发性腹痛及呕吐、便血等病症。,¥900,周一、周二、周三、周四、周五 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1632447420138746
陈珂,北京市,特殊儿童疫苗接种门诊,资深医师,,北京新世纪儿童医院,安徽医科大学妇幼专业毕业，获学士学位。 曾就职于三甲医院儿童保健科。从事儿童保健工作近二十年。 任中国优生优育协会会员。 儿童生长发育、婴幼儿喂养及营养、婴幼儿早期教养、正常儿童心理发展、高危儿及发育迟缓儿童的评估及干预、儿童常见心理及行为问题的分析及指导、儿童智力评估及心理测量、儿童免疫规划。,¥700,周二、周三、周四、周五、周六 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1479790502070592
任钢,北京市,小儿运动损伤门诊,副主任医师·双语,,北京新世纪儿童医院,擅长儿童及成人运动损伤的预防与治疗，脊柱侧弯等与生长发育相关的骨科疾患，积极地将康复理念在伤后早期应用于整体诊疗过程中，使伤者更早地恢复运动功能成为可能。医学博士，毕业于丹麦奥胡斯大学，二十余年国内、外一线临床工作经历，曾经就职于北京市公立三甲医院以及多家知名私立医院。,¥900,周一、周三、周五、周日 (上午 08:00-12:00，下午 13:00-20:00),https://m.doctorpanda.com/doctor/1648105923333065
王燕妮,北京市,耳廓畸形门诊,主任医师,,北京新世纪儿童医院,2007年本硕连读毕业于中南大学湘雅医学院临床医学专业。毕业后至今就职于首都医科大学附属北京儿童医院。 擅长烧伤方面：儿童重症烧烫伤、外伤、电击伤救治，营养支持，皮肤软组织蜂窝织炎，坏死性筋膜炎；整形方面：先天性并指、多指、巨指、拇指发育不良等手足畸形，血管瘤、血管畸形、淋巴管瘤、淋巴水肿等脉管畸形，各类体表良恶性肿物切除修复，先天性面部畸形如面裂、唇裂、鼻裂、眼睑下垂、小耳畸形、小下颌畸形，颅缝早闭等。各类创面修复、瘢痕整形及功能康复训练。,¥900,周四 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1560323119941582
施维,北京市,眼科,主任医师,,北京新世纪儿童医院,毕业于北京协和医科大学临床眼科学系，获博士学位。从事眼科临床工作近二十年。,¥900,周三 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1651126048493581
郝静,北京市,小儿中医消化门诊,主任医师,,北京新世纪儿童医院,擅长儿科常见病的中西医结合诊治，如小儿肺炎、气管炎、支气管炎、反复呼吸道感染、支气管哮喘、鼻炎、胃脘痛（胃炎、胃溃疡等）、胃肠动力性疾病、厌食、呕吐、便秘、腹泻、过敏性紫癜、过敏性紫癜肾炎、乳儿肝炎综合征、EB病毒感染、小儿结缔组织病、以及皮炎、湿疹等病症的中西医结合治疗。      参与“十一五”、“十二五”、中医脾胃病重点学科、国家中医管理局中医儿科临床重点专科、治未病中心、中医儿童急救、临床路径等等多个项目研究建设工作。目前承担北京中医管理局科研项目1项，国家中医药管理局国家科技支撑计划子课题特殊人群中医预防保健(治未病)服务技术应用示范中小儿“治未病”科研课题1项。,¥900,周五 (上午 09:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1655346785589965
郝静,北京市,小儿中医科,主任医师,,北京新世纪儿童医院,擅长儿科常见病的中西医结合诊治，如小儿肺炎、气管炎、支气管炎、反复呼吸道感染、支气管哮喘、鼻炎、胃脘痛（胃炎、胃溃疡等）、胃肠动力性疾病、厌食、呕吐、便秘、腹泻、过敏性紫癜、过敏性紫癜肾炎、乳儿肝炎综合征、EB病毒感染、小儿结缔组织病、以及皮炎、湿疹等病症的中西医结合治疗。      参与“十一五”、“十二五”、中医脾胃病重点学科、国家中医管理局中医儿科临床重点专科、治未病中心、中医儿童急救、临床路径等等多个项目研究建设工作。目前承担北京中医管理局科研项目1项，国家中医药管理局国家科技支撑计划子课题特殊人群中医预防保健(治未病)服务技术应用示范中小儿“治未病”科研课题1项。,¥900,周五 (上午 09:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1655346785589965
闫慧敏,北京市,小儿中医消化门诊,主任医师,,北京新世纪儿童医院,擅长小儿胃炎、幽门螺杆菌感染、消化性溃疡、腹泻、腹痛、厌食、呕吐、便秘、体弱消瘦、反复呼吸道感染、咳嗽、咳喘、哮喘等疾病的诊治。 北京中医药大学毕业，硕士学位。从事中医、中西医结合临床工作四十余年。 世界中医药联合会儿科分会副会长;世界中医药联合会中药上市后再评价专业委员会常务理事;中华中医药学会儿科分会第三、第四、第五届副主任委员;中华中医药高等教育学会儿科分会副理事长;北京中西医结合学会儿科分会主任委员;北京中医学会儿科分会副主任委员;北京中医学会急诊委员会及医院管理委员会委员;中华中医药学会科学技术奖评审专家;中华医学会科学技术奖评审专家;北京市高级职称评审委员会委员。是《北京中医药》、,¥900,周四 (上午 08:00-12:00，下午 13:00-18:00),https://m.doctorpanda.com/doctor/1533118567358717
王书琼,北京市,儿童营养与喂养门诊,资深医师,,北京新世纪儿童医院,毕业于四川大学临床医学专业，获学士学位。 于三级医院从事儿保及儿疾工作十余年。 擅长婴幼儿保健、小儿心理行为评估、营养指导、发育落后的干预指导以及常见疾病的诊治等。,¥700,周一 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1626315855926999
刘聪,北京市,小儿过敏症门诊,副主任医师·双语,,北京新世纪儿童医院,毕业于天津医科大学临床医学专业，获学士学位。 具有二十余年北京三甲医院儿科临床经验，阅读上百万份各种疾病病例，具有丰富的鉴别诊断能力。 北京整合医学会微生态与生长发育专业委员会委员。 对儿童常见病、儿童过敏性疾病、肠道微生态管理领域具有较深的研究。擅长过敏性皮炎、过敏性鼻炎、过敏性结膜炎、便秘、慢性腹泻、生长缓慢、肠道菌群紊乱所致临床问题等疾病的鉴别诊断和治疗。多年肠道微生态管理经验，临床诊治上千例肠道微生态管理的成功案例，在25年欧洲儿科消化肝病与营养年会做病例报告，业界具有较高认可度。,¥900,周一、周二、周三、周四、周五、周六 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1556087734147152
巩纯秀,北京市,小儿肥胖门诊,主任医师 · 双语,,北京新世纪儿童医院,首都医科大学毕业，获硕士学位。2014年12月至2015年5月在美国费城儿童医院以高级访问学者身份到访调研临床科研及研究培养教育。 于首都医科大学附属北京儿童医院内分泌遗传代谢科工作二十余年，任内分泌遗传代谢中心主任。 擅长诊治糖脂代谢疾病（儿童1型糖尿病、2型糖尿病、肥胖、低血糖、高血压、特殊类型糖尿病） 生长及骨代谢（身材矮小、佝偻病、甲状旁腺疾病、发育迟缓） 性腺及肾上腺疾病（性早熟、DSD（性发育异常）、尿道下裂、两性畸形、小阴茎、性不发育、肾上腺皮质增生症、急、慢性肾上腺皮质功能不全、皮质醇增多症） 甲状腺疾病（甲状腺功能亢进、甲状腺功能减退、甲状腺激素不敏感） 其他儿童内分泌疾病（,¥1200,周一 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1533030376731654
陈珂,北京市,儿童营养与喂养门诊,资深医师,,北京新世纪儿童医院,安徽医科大学妇幼专业毕业，获学士学位。 曾就职于三甲医院儿童保健科。从事儿童保健工作近二十年。 任中国优生优育协会会员。 儿童生长发育、婴幼儿喂养及营养、婴幼儿早期教养、正常儿童心理发展、高危儿及发育迟缓儿童的评估及干预、儿童常见心理及行为问题的分析及指导、儿童智力评估及心理测量、儿童免疫规划。,¥700,周二、周三、周四、周五、周六 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1479790502070592
毕萌,北京市,儿童营养与喂养门诊,资深医师,,北京新世纪儿童医院,毕业于天津医科大学预防医学专业，获学士学位。  曾就职于三级综合医院保健科。从事儿童保健工作十余年。  擅长儿童体格发育评估、儿童睡眠指导、婴幼儿营养及喂养指导以及儿童预防接种。,¥700,上午 08:00-12:00，下午 13:00-17:00,https://m.doctorpanda.com/doctor/1625124634458178
谷奕,北京市,小儿肥胖门诊,主任医师,,北京新世纪儿童医院,儿童内分泌遗传代谢内分泌疾病临床医学博士学位。 于首都医科大学附属北京儿童医院内分泌遗传代谢科工作多年。 擅长儿童生长发育、性早熟、甲状腺疾病、儿童青少年糖尿病等儿科内分泌疾病。,¥1200,周一、周六 (上午 08:00-12:00，下午 12:00-21:00),https://m.doctorpanda.com/doctor/1560319937294318
方方,北京市,小儿神经内科,主任医师,,北京新世纪儿童医院,擅长癫痫、药物难治性癫痫、神经免疫性疾病、遗传代谢性疾病和线粒体病等的鉴别诊断和治疗。 毕业于首都医科大学儿科系，获博士学位。现任国家儿童医学中心、首都医科大学附属北京儿童医院神经内科科主任。主要从事小儿神经系统疾病的临床，科研和教学工作。科分会小儿神经学组副组长、北京医师协会儿童神经专业副主任委员、北京抗癫痫协会常务理事、中国医师学会医学遗传医师分会委员、中国医师学会神经内科医师分会儿童神经疾病专业会委员等,¥1200,周二 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1594967498530585
